;CAMPUS;Grao;FACULTADE;CANTIDAD;UNIVERSIDAD
39;A CORUÑA;Programa de simultaneidade do Grao en Inglés: Estudos Lingüísticos e Literarios e o Grao en Galego e Portugués: Estudos Lingüísticos e Literarios;Facultade de Filoloxía;26;UDC
40;A CORUÑA;Programa de simultaneidade do Grao en Turismo e o Grao en Ciencias Empresariais;Facultade de Ciencias Económicas e Empresariais;161;UDC
41;FERROL;Grao aberto en Enxeñaría Industrial;Escola Politécnica Superior de Ferrol;10;UDC
42;FERROL;Grao en Enfermaría;Facultade de Enfermaría e Podoloxía;264;UDC
43;FERROL;Grao en Enxeñaría de Deseño Industrial e Desenvolvemento do Produto;Escola Politécnica Superior de Ferrol;385;UDC
44;FERROL;Grao en Enxeñaría Eléctrica;Escola Politécnica Superior de Ferrol;80;UDC
45;FERROL;Grao en Enxeñaría Electrónica Industrial e Automática;Escola Politécnica Superior de Ferrol;189;UDC
46;FERROL;Grao en Enxeñaría en Tecnoloxías Industriais;Escola Politécnica Superior de Ferrol;138;UDC
47;FERROL;Grao en Enxeñaría Mecánica;Escola Politécnica Superior de Ferrol;197;UDC
48;FERROL;Grao en Enxeñaría Naval e Oceánica;Escola Politécnica Superior de Ferrol;140;UDC
49;FERROL;Grao en Humanidades;Facultade de Humanidades;18;UDC
50;FERROL;Grao en Información e Documentación;Facultade de Humanidades;11;UDC
51;FERROL;Grao en Podoloxía;Facultade de Enfermaría e Podoloxía;186;UDC
52;FERROL;Grao en Relacións Laborais e Recursos Humanos;Facultade de Socioloxía;165;UDC
53;FERROL;Grao en Xestión Dixital de Información e Documentación;Facultade de Humanidades;45;UDC
54;FERROL;Grao en Xestión Industrial da Moda;Escola Politécnica Superior de Ferrol;239;UDC
55;FERROL;Programa de simultaneidade do Grao en Enxeñaría Mecánica e o Grao en Enxeñaría Naval e Oceánica;Escola Politécnica Superior de Ferrol;46;UDC
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
